Condition	Model	Storage	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
2.0	3.0	2.0	0.0	0.0	7.0	7.0	507.0	4.0	4.0	16.0	1.0	0.0	1.0	7.0	0.0	6
2.0	4.0	2.0	99.7	5.0	5.0	3.0	911.0	4.0	6.0	21.0	1.0	1.0	39.0	7.0	1.0	6
2.0	2.0	1.0	100.0	3.0	7.0	3.0	476.0	6.0	6.0	1.0	1.0	1.0	39.0	3.0	0.0	3
2.0	4.0	3.0	98.8	3.0	7.0	3.0	1610.0	4.0	4.0	20.0	2.0	1.0	39.0	3.0	0.0	5
2.0	4.0	2.0	100.0	3.0	7.0	4.0	245.0	6.0	6.0	3.0	3.0	1.0	39.0	7.0	0.0	5
2.0	4.0	2.0	100.0	1.0	5.0	4.0	307.0	4.0	6.0	20.0	2.0	0.0	1.0	7.0	0.0	10
2.0	3.0	2.0	100.0	3.0	7.0	3.0	245.0	5.0	5.0	17.0	2.0	0.0	1.0	3.0	0.0	5
2.0	4.0	3.0	100.0	2.0	3.0	3.0	2752.0	5.0	2.0	16.0	2.0	1.0	39.0	7.0	1.0	7
6.0	3.0	2.0	99.0	3.0	3.0	4.0	1685.0	5.0	2.0	0.0	1.0	1.0	39.0	7.0	1.0	4
2.0	5.0	2.0	100.0	3.0	5.0	4.0	274.0	5.0	7.0	15.0	2.0	1.0	39.0	7.0	0.0	14
2.0	5.0	2.0	100.0	4.0	3.0	6.0	1216.0	6.0	3.0	1.0	1.0	0.0	1.0	5.0	0.0	14
2.0	5.0	2.0	100.0	2.0	3.0	7.0	194.0	5.0	2.0	3.0	2.0	0.0	1.0	3.0	0.0	12
1.0	5.0	3.0	100.0	1.0	3.0	3.0	440.0	4.0	1.0	22.0	2.0	0.0	1.0	3.0	0.0	13
2.0	3.0	2.0	100.0	2.0	7.0	9.0	539.0	5.0	5.0	1.0	2.0	0.0	1.0	3.0	0.0	3
2.0	3.0	1.0	100.0	3.0	7.0	3.0	366.0	6.0	6.0	1.0	3.0	0.0	1.0	7.0	0.0	5
2.0	4.0	3.0	100.0	1.0	7.0	5.0	184.0	4.0	4.0	14.0	2.0	0.0	1.0	7.0	0.0	6
2.0	4.0	3.0	100.0	3.0	3.0	6.0	624.0	5.0	2.0	18.0	1.0	1.0	39.0	3.0	0.0	10
6.0	5.0	2.0	100.0	3.0	7.0	4.0	164.0	6.0	6.0	7.0	2.0	0.0	1.0	7.0	0.0	17
2.0	4.0	2.0	100.0	3.0	3.0	7.0	942.0	4.0	1.0	16.0	2.0	0.0	249.0	5.0	0.0	13
2.0	5.0	2.0	0.0	0.0	3.0	6.0	243.0	5.0	2.0	18.0	1.0	0.0	1.0	7.0	0.0	12
2.0	5.0	2.0	100.0	1.0	1.0	5.0	290.0	5.0	4.0	2.0	2.0	0.0	1.0	3.0	1.0	16
2.0	4.0	2.0	100.0	0.0	5.0	3.0	314.0	6.0	1.0	0.0	3.0	0.0	249.0	5.0	0.0	9
2.0	6.0	2.0	100.0	2.0	3.0	8.0	213.0	4.0	1.0	15.0	3.0	0.0	1.0	7.0	0.0	15
2.0	4.0	2.0	100.0	1.0	3.0	6.0	277.0	5.0	2.0	1.0	2.0	0.0	1.0	7.0	0.0	8
2.0	5.0	3.0	100.0	4.0	7.0	3.0	444.0	5.0	5.0	16.0	2.0	0.0	1.0	5.0	0.0	17
2.0	4.0	2.0	100.0	1.0	5.0	3.0	459.0	5.0	7.0	8.0	2.0	1.0	39.0	7.0	1.0	8
2.0	4.0	3.0	100.0	1.0	5.0	11.0	637.0	6.0	1.0	0.0	2.0	0.0	1.0	5.0	0.0	12
2.0	3.0	2.0	100.0	3.0	3.0	9.0	364.0	5.0	2.0	19.0	2.0	0.0	1.0	3.0	0.0	5
1.0	4.0	2.0	99.4	3.0	1.0	8.0	284.0	4.0	3.0	20.0	1.0	0.0	1.0	5.0	0.0	3
6.0	7.0	3.0	100.0	2.0	3.0	5.0	310.0	5.0	2.0	15.0	2.0	0.0	1.0	5.0	0.0	30
2.0	7.0	3.0	100.0	2.0	3.0	7.0	478.0	6.0	3.0	4.0	3.0	0.0	1.0	7.0	0.0	24
1.0	7.0	3.0	100.0	5.0	5.0	3.0	461.0	5.0	7.0	1.0	1.0	0.0	1.0	3.0	1.0	17
