Condition	Model	Storage	Seller rating	Seller rating count	Duration	Number of pictures	Length of description	End Weekday	Start Weekday	End Hour	Handling time	Global shipping	Shipping Locations	Shipping Type	Return accepted	Price
2.0	4.0	3.0	100.0	1.0	7.0	5.0	184.0	4.0	4.0	14.0	2.0	0.0	1.0	7.0	0.0	135.0
2.0	4.0	3.0	100.0	3.0	3.0	6.0	624.0	5.0	2.0	18.0	1.0	1.0	39.0	3.0	0.0	235.99
6.0	5.0	2.0	100.0	3.0	7.0	4.0	164.0	6.0	6.0	7.0	2.0	0.0	1.0	7.0	0.0	405.0
2.0	4.0	2.0	100.0	3.0	3.0	7.0	942.0	4.0	1.0	16.0	2.0	0.0	249.0	5.0	0.0	300.0
2.0	5.0	2.0	0.0	0.0	3.0	6.0	243.0	5.0	2.0	18.0	1.0	0.0	1.0	7.0	0.0	295.0
2.0	5.0	2.0	100.0	1.0	1.0	5.0	290.0	5.0	4.0	2.0	2.0	0.0	1.0	3.0	1.0	390.0
2.0	4.0	2.0	100.0	0.0	5.0	3.0	314.0	6.0	1.0	0.0	3.0	0.0	249.0	5.0	0.0	202.5
2.0	6.0	2.0	100.0	2.0	3.0	8.0	213.0	4.0	1.0	15.0	3.0	0.0	1.0	7.0	0.0	355.0
2.0	4.0	2.0	100.0	1.0	3.0	6.0	277.0	5.0	2.0	1.0	2.0	0.0	1.0	7.0	0.0	175.0
2.0	5.0	3.0	100.0	4.0	7.0	3.0	444.0	5.0	5.0	16.0	2.0	0.0	1.0	5.0	0.0	403.89
2.0	4.0	2.0	100.0	1.0	5.0	3.0	459.0	5.0	7.0	8.0	2.0	1.0	39.0	7.0	1.0	182.5
2.0	4.0	3.0	100.0	1.0	5.0	11.0	637.0	6.0	1.0	0.0	2.0	0.0	1.0	5.0	0.0	275.0
2.0	3.0	2.0	100.0	3.0	3.0	9.0	364.0	5.0	2.0	19.0	2.0	0.0	1.0	3.0	0.0	100.0
1.0	4.0	2.0	99.4	3.0	1.0	8.0	284.0	4.0	3.0	20.0	1.0	0.0	1.0	5.0	0.0	71.0
6.0	7.0	3.0	100.0	2.0	3.0	5.0	310.0	5.0	2.0	15.0	2.0	0.0	1.0	5.0	0.0	735.0
2.0	7.0	3.0	100.0	2.0	3.0	7.0	478.0	6.0	3.0	4.0	3.0	0.0	1.0	7.0	0.0	595.0
1.0	7.0	3.0	100.0	5.0	5.0	3.0	461.0	5.0	7.0	1.0	1.0	0.0	1.0	3.0	1.0	405.0
2.0	4.0	2.0	0.0	1.0	3.0	4.0	153.0	4.0	1.0	18.0	2.0	0.0	1.0	3.0	0.0	200.0
2.0	3.0	2.0	100.0	2.0	7.0	3.0	210.0	5.0	5.0	5.0	2.0	0.0	249.0	7.0	1.0	177.5
2.0	3.0	2.0	94.7	2.0	7.0	4.0	130.0	6.0	6.0	0.0	2.0	1.0	39.0	7.0	0.0	30.0
2.0	5.0	2.0	100.0	0.0	3.0	3.0	190.0	5.0	2.0	16.0	3.0	0.0	1.0	3.0	0.0	365.0
2.0	7.0	4.0	100.0	2.0	7.0	5.0	924.0	4.0	4.0	6.0	1.0	0.0	1.0	3.0	1.0	599.0
2.0	5.0	2.0	100.0	3.0	3.0	9.0	739.0	5.0	2.0	22.0	2.0	0.0	1.0	3.0	0.0	405.0
2.0	3.0	3.0	100.0	3.0	5.0	8.0	575.0	4.0	6.0	18.0	1.0	0.0	1.0	5.0	1.0	153.5
2.0	3.0	1.0	100.0	2.0	1.0	3.0	110.0	4.0	3.0	15.0	2.0	1.0	39.0	7.0	1.0	70.0
2.0	3.0	1.0	100.0	3.0	3.0	8.0	265.0	5.0	2.0	2.0	2.0	0.0	1.0	7.0	0.0	71.0
1.0	7.0	2.0	100.0	3.0	7.0	8.0	1068.0	6.0	6.0	4.0	1.0	0.0	1.0	3.0	0.0	200.0
2.0	3.0	2.0	99.8	4.0	1.0	6.0	621.0	6.0	5.0	0.0	0.0	1.0	40.0	3.0	1.0	125.0
2.0	4.0	2.0	100.0	2.0	3.0	3.0	225.0	5.0	2.0	2.0	2.0	1.0	39.0	7.0	0.0	142.5
2.0	3.0	1.0	100.0	0.0	7.0	4.0	431.0	4.0	4.0	18.0	2.0	0.0	1.0	5.0	0.0	122.5
1.0	5.0	2.0	100.0	3.0	10.0	4.0	666.0	5.0	2.0	11.0	3.0	1.0	39.0	7.0	0.0	128.5
2.0	7.0	3.0	90.0	1.0	7.0	4.0	234.0	5.0	5.0	8.0	3.0	1.0	39.0	7.0	0.0	305.0
2.0	3.0	2.0	0.0	0.0	7.0	5.0	202.0	4.0	4.0	13.0	2.0	0.0	1.0	7.0	0.0	105.0
2.0	5.0	2.0	100.0	3.0	7.0	4.0	1982.0	5.0	5.0	16.0	1.0	1.0	39.0	7.0	1.0	290.0
2.0	5.0	4.0	100.0	1.0	1.0	3.0	108.0	5.0	4.0	0.0	2.0	0.0	1.0	7.0	0.0	405.0
2.0	5.0	3.0	97.9	3.0	5.0	6.0	501.0	5.0	7.0	17.0	2.0	0.0	1.0	7.0	0.0	355.0
2.0	4.0	2.0	100.0	3.0	7.0	4.0	166.0	4.0	4.0	23.0	2.0	0.0	1.0	7.0	0.0	172.5
1.0	4.0	2.0	100.0	1.0	7.0	9.0	195.0	6.0	6.0	2.0	2.0	0.0	1.0	5.0	0.0	59.85
2.0	6.0	2.0	100.0	0.0	3.0	5.0	118.0	5.0	2.0	0.0	2.0	0.0	1.0	7.0	0.0	182.5
1.0	4.0	2.0	100.0	1.0	1.0	3.0	751.0	4.0	3.0	22.0	2.0	0.0	1.0	3.0	0.0	155.0
2.0	3.0	2.0	100.0	1.0	3.0	5.0	224.0	4.0	1.0	22.0	3.0	0.0	1.0	7.0	0.0	91.0
2.0	7.0	2.0	100.0	3.0	1.0	4.0	804.0	4.0	3.0	19.0	2.0	0.0	249.0	5.0	0.0	491.0
6.0	6.0	2.0	100.0	4.0	3.0	3.0	860.0	5.0	2.0	20.0	1.0	0.0	1.0	5.0	0.0	355.0
2.0	4.0	2.0	100.0	3.0	1.0	3.0	217.0	5.0	4.0	13.0	1.0	0.0	1.0	5.0	0.0	180.0
2.0	2.0	2.0	100.0	3.0	7.0	8.0	769.0	4.0	4.0	23.0	2.0	0.0	1.0	3.0	0.0	71.0
2.0	3.0	2.0	0.0	1.0	7.0	3.0	438.0	5.0	5.0	2.0	3.0	1.0	39.0	3.0	0.0	107.5
2.0	6.0	2.0	100.0	3.0	1.0	3.0	157.0	6.0	5.0	0.0	1.0	1.0	40.0	7.0	0.0	158.5
2.0	3.0	1.0	100.0	0.0	3.0	4.0	260.0	5.0	2.0	3.0	2.0	1.0	39.0	7.0	0.0	167.0
1.0	4.0	2.0	100.0	3.0	7.0	6.0	1237.0	5.0	5.0	7.0	3.0	1.0	39.0	3.0	0.0	130.0
2.0	3.0	1.0	100.0	3.0	5.0	3.0	230.0	4.0	6.0	17.0	2.0	1.0	39.0	7.0	0.0	82.55
